,degree_centrality,betweenness_centrality,closeness_centrality
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,191.0911820403955
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,189.7796887277494
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,180.26344876936304
55,,,
56,,,
57,,,
58,,,186.12669045660064
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,191.0479917209437
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,2.0,,208.59788752997022
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,191.31202175518374
103,,,196.3666610905023
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,208.03376591648754
110,,,
111,,0.0,211.94034767737588
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,208.25373193341687
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,211.72903517413602
127,,,
128,,,215.93525714157727
129,,,
130,,,172.83932003176068
131,,,
132,,,188.05701055220678
133,,,
134,,,
135,,,
136,,,211.81024361050999
137,,,
138,,,207.30614531961356
139,,,207.97526777253034
140,,,
141,,,
142,,,213.9417379995002
143,,,
144,,,
145,,,
146,,,
147,,,217.82026471643036
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,200.32300538528656
155,,,186.7264473307638
156,,,220.74639181441123
157,,,212.6633307950008
158,,,
159,,,
160,,,
161,,,
162,,,201.08571136090424
163,,,
164,,,
165,,,205.65572445615598
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,214.6316145840765
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,184.98591096571928
189,,,
190,,,180.05671014052257
191,,,
192,,,211.2044387986499
193,,,218.06956881403693
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,210.02686780531275
206,,,
207,,,
208,,,200.6431477957035
209,,,
210,,,
211,,,
212,,,205.9645626374715
213,,,207.47280639915994
214,,,
215,,0.0,220.09892420844352
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,214.03481857120653
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
